"filename"	"nutt_ad"	"nutt_peer"	"target_child_id.x"	"tot"	"prop_peer"
"AcadLang/lower/001.xml"	67	NA	NA	NA	NA
"AcadLang/lower/002.xml"	29	NA	NA	NA	NA
"AcadLang/lower/003.xml"	28	NA	NA	NA	NA
"AcadLang/lower/004.xml"	10	NA	NA	NA	NA
"AcadLang/lower/005.xml"	11	NA	NA	NA	NA
"AcadLang/lower/006.xml"	16	NA	NA	NA	NA
"AcadLang/lower/007.xml"	21	NA	NA	NA	NA
"AcadLang/lower/008.xml"	10	NA	NA	NA	NA
"AcadLang/lower/009.xml"	50	NA	NA	NA	NA
"AcadLang/lower/010.xml"	25	NA	NA	NA	NA
"AcadLang/lower/011.xml"	11	NA	NA	NA	NA
"AcadLang/lower/012.xml"	14	NA	NA	NA	NA
"AcadLang/lower/013.xml"	11	NA	NA	NA	NA
"AcadLang/lower/014.xml"	23	NA	NA	NA	NA
"AcadLang/lower/015.xml"	13	NA	NA	NA	NA
"AcadLang/lower/016.xml"	21	NA	NA	NA	NA
"AcadLang/lower/017.xml"	18	NA	NA	NA	NA
"AcadLang/lower/019.xml"	61	NA	NA	NA	NA
"AcadLang/lower/020.xml"	21	NA	NA	NA	NA
"AcadLang/lower/021.xml"	13	NA	NA	NA	NA
"AcadLang/lower/022.xml"	13	NA	NA	NA	NA
"AcadLang/lower/023.xml"	14	NA	NA	NA	NA
"AcadLang/lower/024.xml"	13	NA	NA	NA	NA
"AcadLang/lower/025.xml"	18	NA	NA	NA	NA
"AcadLang/lower/026.xml"	20	NA	NA	NA	NA
"AcadLang/lower/027.xml"	15	NA	NA	NA	NA
"AcadLang/lower/028.xml"	17	NA	NA	NA	NA
"AcadLang/lower/029.xml"	23	NA	NA	NA	NA
"AcadLang/lower/030.xml"	46	NA	NA	NA	NA
"AcadLang/lower/031.xml"	9	NA	NA	NA	NA
"AcadLang/lower/032.xml"	6	NA	NA	NA	NA
"AcadLang/lower/033.xml"	69	NA	NA	NA	NA
"AcadLang/lower/034.xml"	45	NA	NA	NA	NA
"AcadLang/lower/035.xml"	6	NA	NA	NA	NA
"AcadLang/lower/036.xml"	58	NA	NA	NA	NA
"AcadLang/lower/037.xml"	50	NA	NA	NA	NA
"AcadLang/lower/038.xml"	9	NA	NA	NA	NA
"AcadLang/lower/039.xml"	15	NA	NA	NA	NA
"AcadLang/lower/040.xml"	17	NA	NA	NA	NA
"AcadLang/middle/001.xml"	11	NA	NA	NA	NA
"AcadLang/middle/002.xml"	13	NA	NA	NA	NA
"AcadLang/middle/003.xml"	40	NA	NA	NA	NA
"AcadLang/middle/004.xml"	2	NA	NA	NA	NA
"AcadLang/middle/005.xml"	2	NA	NA	NA	NA
"AcadLang/middle/006.xml"	14	NA	NA	NA	NA
"AcadLang/middle/007.xml"	2	NA	NA	NA	NA
"AcadLang/middle/008.xml"	20	NA	NA	NA	NA
"AcadLang/middle/009.xml"	73	NA	NA	NA	NA
"AcadLang/middle/010.xml"	6	NA	NA	NA	NA
"AcadLang/middle/011.xml"	11	NA	NA	NA	NA
"AcadLang/middle/012.xml"	9	NA	NA	NA	NA
"AcadLang/middle/013.xml"	19	NA	NA	NA	NA
"AcadLang/middle/014.xml"	7	NA	NA	NA	NA
"AcadLang/middle/015.xml"	17	NA	NA	NA	NA
"AcadLang/middle/016.xml"	64	NA	NA	NA	NA
"AcadLang/middle/017.xml"	2	NA	NA	NA	NA
"AcadLang/middle/018.xml"	7	NA	NA	NA	NA
"AcadLang/middle/019.xml"	26	NA	NA	NA	NA
"AcadLang/middle/021.xml"	8	NA	NA	NA	NA
"AcadLang/middle/022.xml"	13	NA	NA	NA	NA
"AcadLang/middle/023.xml"	33	NA	NA	NA	NA
"AcadLang/middle/024.xml"	14	NA	NA	NA	NA
"AcadLang/middle/026.xml"	15	NA	NA	NA	NA
"AcadLang/middle/027.xml"	4	NA	NA	NA	NA
"AcadLang/middle/028.xml"	19	NA	NA	NA	NA
"AcadLang/middle/029.xml"	7	NA	NA	NA	NA
"AcadLang/middle/030.xml"	39	NA	NA	NA	NA
"AcadLang/middle/031.xml"	15	NA	NA	NA	NA
"AcadLang/middle/032.xml"	36	NA	NA	NA	NA
"AcadLang/middle/033.xml"	12	NA	NA	NA	NA
"AcadLang/middle/034.xml"	34	NA	NA	NA	NA
"AcadLang/middle/035.xml"	40	NA	NA	NA	NA
"AcadLang/middle/036.xml"	7	NA	NA	NA	NA
"AcadLang/middle/037.xml"	27	NA	NA	NA	NA
"AcadLang/middle/038.xml"	12	NA	NA	NA	NA
"AcadLang/middle/039.xml"	16	NA	NA	NA	NA
"AcadLang/middle/040.xml"	18	NA	NA	NA	NA
"AcadLang/upper/001.xml"	12	NA	NA	NA	NA
"AcadLang/upper/002.xml"	16	NA	NA	NA	NA
"AcadLang/upper/003.xml"	36	NA	NA	NA	NA
"AcadLang/upper/004.xml"	35	NA	NA	NA	NA
"AcadLang/upper/005.xml"	13	NA	NA	NA	NA
"AcadLang/upper/006.xml"	7	NA	NA	NA	NA
"AcadLang/upper/007.xml"	18	NA	NA	NA	NA
"AcadLang/upper/008.xml"	19	NA	NA	NA	NA
"AcadLang/upper/009.xml"	23	NA	NA	NA	NA
"AcadLang/upper/010.xml"	20	NA	NA	NA	NA
"AcadLang/upper/011.xml"	12	NA	NA	NA	NA
"AcadLang/upper/012.xml"	6	NA	NA	NA	NA
"AcadLang/upper/013.xml"	14	NA	NA	NA	NA
"AcadLang/upper/014.xml"	2	NA	NA	NA	NA
"AcadLang/upper/015.xml"	11	NA	NA	NA	NA
"AcadLang/upper/016.xml"	3	NA	NA	NA	NA
"AcadLang/upper/018.xml"	35	NA	NA	NA	NA
"AcadLang/upper/019.xml"	24	NA	NA	NA	NA
"AcadLang/upper/020.xml"	10	NA	NA	NA	NA
"AcadLang/upper/021.xml"	19	NA	NA	NA	NA
"AcadLang/upper/022.xml"	16	NA	NA	NA	NA
"AcadLang/upper/023.xml"	29	NA	NA	NA	NA
"AcadLang/upper/024.xml"	39	NA	NA	NA	NA
"AcadLang/upper/025.xml"	10	NA	NA	NA	NA
"AcadLang/upper/026.xml"	7	NA	NA	NA	NA
"AcadLang/upper/027.xml"	16	NA	NA	NA	NA
"AcadLang/upper/028.xml"	5	NA	NA	NA	NA
"AcadLang/upper/029.xml"	39	NA	NA	NA	NA
"AcadLang/upper/030.xml"	7	NA	NA	NA	NA
"AcadLang/upper/031.xml"	18	NA	NA	NA	NA
"AcadLang/upper/032.xml"	6	NA	NA	NA	NA
"AcadLang/upper/033.xml"	13	NA	NA	NA	NA
"AcadLang/upper/034.xml"	9	NA	NA	NA	NA
"AcadLang/upper/035.xml"	20	NA	NA	NA	NA
"AcadLang/upper/036.xml"	51	NA	NA	NA	NA
"AcadLang/upper/037.xml"	2	NA	NA	NA	NA
"AcadLang/upper/038.xml"	9	NA	NA	NA	NA
"AcadLang/upper/039.xml"	18	NA	NA	NA	NA
"AcadLang/upper/040.xml"	9	NA	NA	NA	NA
"Aguirre/010700.xml"	298	NA	NA	NA	NA
"Aguirre/010801.xml"	538	NA	NA	NA	NA
"Aguirre/010815.xml"	221	NA	NA	NA	NA
"Aguirre/010901.xml"	147	NA	NA	NA	NA
"Aguirre/010915.xml"	393	NA	NA	NA	NA
"Aguirre/010927.xml"	614	NA	NA	NA	NA
"Aguirre/011015.xml"	598	4	343	602	0.00664451827242525
"Aguirre/011016.xml"	103	12	343	115	0.104347826086957
